Locality,Site,SampleID,Year,Location,Location_b,Coral,Coralline algae,Foram,Halimeda,Homotrema,Intraclast,Mollusk,Octocoral,Urchin
Akumal,Dicks,D1_G_26,2021,G,0,44.5,15,7,9.5,0,13.5,5.5,3.5,1.5
Akumal,Dicks,D1_G_61,2021,G,0,26.5,23,17,9,0.5,13,7.5,2,1.5
Akumal,Dicks,D2_G_14,2021,G,0,43,13,7.5,9,2,18.5,3.5,1,2.5
Akumal,Dicks,D2_G_92,2021,G,0,19,17.5,18,12.5,4.5,14.5,4.5,3,6.5
Akumal,Dicks,D3_G_15,2021,G,0,36.5,20,11.5,12.5,1,11,3.5,1,3
Akumal,Dicks,D3_G_56,2021,G,0,22.5,12.5,13,16,3,12.5,11.5,1.5,7.5
Akumal,Dicks,D4_G_4,2021,G,0,41.5,25,7.5,9.5,2,10,3,1,0.5
Akumal,Dicks,D4_G_70,2021,G,0,27.5,31,11.5,10,2.5,11,3,2.5,1
Akumal,Dicks,D5_G_16,2021,G,0,41.5,18.5,7,7.5,2.5,14.5,5.5,1.5,1.5
Akumal,Dicks,D5_G_27,2021,G,0,22.5,26,19,12,1,9.5,5,3,2
Akumal,Dicks,D6_G_22,2021,G,0,40,10.5,3.5,17,1,17.5,8.5,1,1
Akumal,Dicks,D6_G_30,2021,G,0,24,22.5,18.5,17,2,7,5,1.5,2.5
Akumal,Langosta,L1_G_6,2021,G,0,21,20.5,22,9,2.5,8.5,10,2,4.5
Akumal,Langosta,L1_G_82,2021,G,0,34.5,18.5,11,12.5,0.5,11,9.5,2.5,0
Akumal,Langosta,L2_G_93,2021,G,0,21.5,20,21,11,1,14.5,6,2.5,2.5
Akumal,Langosta,L2_G_96,2021,G,0,35,20,12,7.5,0,14,9,2,0.5
Akumal,Langosta,L3_G_28,2021,G,0,22,31.5,15.5,11,0.5,10,5,1,3.5
Akumal,Langosta,L3_G_77,2021,G,0,48.5,10.5,5.5,4,0.5,16.5,10,2.5,2
Akumal,Langosta,L4_G_33,2021,G,0,20,32,11,15,2.5,5,9,4.5,1
Akumal,Langosta,L4_G_41,2021,G,0,42.5,7.5,7.5,7,3.5,23.5,6.5,1.5,0.5
Akumal,Langosta,L5_G_68,2021,G,0,23,24,10.5,17,0.5,6,11.5,4,3.5
Akumal,Langosta,L5_G_86,2021,G,0,38,15,9,11,0.5,13.5,7,2.5,3.5
Akumal,Langosta,L6_G_60,2021,G,0,42,17.5,4,10,0,16,7,1.5,2
Akumal,Langosta,L6_G_73,2021,G,0,17.5,23,19,15,0.5,11.5,6.5,2,5
Akumal,Yal Ku,YK1_G_8,2021,G,0,27.5,26,7,11.5,0,15,9.5,3,0.5
